Sun Mar 12 19:50:29 2023    binary.txt

         48355 function calls (47714 primitive calls) in 0.038 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     97/3    0.000    0.000    0.029    0.010 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
       16    0.000    0.000    0.000    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\typing.py:1336(__init__)
        2    0.000    0.000    0.001    0.000 C:\Users\jacob\Downloads\Programing\Python\PyBattle\Now\GitHub\Pybattle\pybattle\window\frames\frame.py:199(add_frame)
      224    0.000    0.000    0.000    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\re\_parser.py:247(match)
      211    0.000    0.000    0.000    0.000 C:\Users\jacob\Downloads\Programing\Python\PyBattle\Now\GitHub\Pybattle\pybattle\ansi\ansi.py:36(__escape_code)
        7    0.000    0.000    0.001    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\re\_compiler.py:571(_code)
      265    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       45    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:169(__enter__)
      166    0.000    0.000    0.000    0.000 C:\Users\jacob\Downloads\Programing\Python\PyBattle\Now\GitHub\Pybattle\pybattle\window\grid\matrix.py:51(<lambda>)
       45    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
       45    0.000    0.000    0.000    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\_distutils_hack\__init__.py:89(find_spec)
      210    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
       37    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
      381    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        7    0.000    0.000    0.000    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\re\_compiler.py:509(_compile_info)
       61    0.000    0.000    0.000    0.000 C:\Users\jacob\Downloads\Programing\Python\PyBattle\Now\GitHub\Pybattle\pybattle\window\grid\matrix.py:214(width)
       45    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
       74    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
      171    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1028(__enter__)
      166    0.000    0.000    0.000    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\re\_parser.py:158(__len__)
      122    0.000    0.000    0.000    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\typing.py:1229(_is_dunder)
        5    0.000    0.000    0.000    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\enum.py:233(__set_name__)
        7    0.000    0.000    0.003    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\re\_compiler.py:738(compile)
       16    0.000    0.000    0.001    0.000 C:\Users\jacob\Downloads\Programing\Python\PyBattle\Now\GitHub\Pybattle\pybattle\window\grid\matrix.py:50(__init__)
       36    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:675(_validate_timestamp_pyc)
      101    0.000    0.000    0.000    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\re\_parser.py:284(tell)
       46    0.000    0.000    0.000    0.000 {built-in method nt._path_splitroot}
       26    0.000    0.000    0.000    0.000 C:\Users\jacob\Downloads\Programing\Python\PyBattle\Now\GitHub\Pybattle\pybattle\window\grid\coord.py:56(__add__)
       73    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:392(cached)
      210    0.000    0.000    0.000    0.000 C:\Users\jacob\Downloads\Programing\Python\PyBattle\Now\GitHub\Pybattle\pybattle\window\grid\matrix.py:30(__repr__)
       63    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1559(__init__)
       40    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1496(find_spec)
      145    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        7    0.000    0.000    0.002    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\re\_parser.py:970(parse)
       36    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:599(_check_name_wrapper)
        3    0.000    0.000    0.000    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\colorama\ansi.py:26(__init__)
       19    0.000    0.000    0.000    0.000 C:\Users\jacob\Downloads\Programing\Python\PyBattle\Now\GitHub\Pybattle\pybattle\window\grid\matrix.py:220(<listcomp>)
        9    0.000    0.000    0.000    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\typing.py:652(Union)
