Sun Jun  4 15:52:59 2023    binary.txt

         404339 function calls (403851 primitive calls) in 0.347 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
     2069    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        4    0.000    0.000    0.001    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\enum.py:1625(convert_class)
     1000    0.000    0.000    0.000    0.000 {built-in method nt.getpid}
     1001    0.000    0.000    0.000    0.000 {built-in method time.time}
        5    0.000    0.000    0.001    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\collections\__init__.py:348(namedtuple)
      389    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:119(<listcomp>)
     34/4    0.000    0.000    0.029    0.007 <frozen importlib._bootstrap>:1167(_find_and_load)
       32    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap>:1056(_find_spec)
     2004    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
        3    0.000    0.000    0.000    0.000 {built-in method nt.listdir}
      514    0.000    0.000    0.000    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\re\_parser.py:252(get)
      635    0.000    0.000    0.000    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\re\_parser.py:231(__next)
       19    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1007(get_code)
        4    0.000    0.000    0.001    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\enum.py:891(<listcomp>)
   110/31    0.000    0.000    0.000    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\re\_parser.py:172(getwidth)
      513    0.000    0.000    0.000    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\re\_parser.py:162(__getitem__)
       65    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FFDB51A8F90}
       24    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1464(_get_spec)
     1000    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
     21/1    0.000    0.000    0.347    0.347 {built-in method builtins.exec}
     1000    0.000    0.000    0.000    0.000 {method 'write' of '_io.StringIO' objects}
    34/12    0.000    0.000    0.002    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\re\_parser.py:447(_parse_sub)
       38    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
      118    0.000    0.000    0.004    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\re\__init__.py:272(_compile)
     30/4    0.000    0.000    0.027    0.007 <frozen importlib._bootstrap>:666(_load_unlocked)
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      416    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
       30    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
     1000    0.000    0.000    0.000    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\logging\__init__.py:661(formatStack)
       32    0.000    0.000    0.000    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\_distutils_hack\__init__.py:89(find_spec)
        1    0.000    0.000    0.006    0.006 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\socket.py:1(<module>)
       12    0.000    0.000    0.000    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\datetime.py:592(__new__)
     34/4    0.000    0.000    0.029    0.007 <frozen importlib._bootstrap>:1122(_find_and_load_unlocked)
       70    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      838    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
        4    0.000    0.000    0.001    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\enum.py:874(_convert_)
      130    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        1    0.000    0.000    0.001    0.001 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\datetime.py:1(<module>)
        1    0.000    0.000    0.006    0.006 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\logging\__init__.py:1(<module>)
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:100(acquire)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:778(spec_from_file_location)
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:125(release)
       12    0.000    0.000    0.000    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\re\_compiler.py:509(_compile_info)
       19    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
      211    0.000    0.000    0.000    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\socket.py:93(<lambda>)
      208    0.000    0.000    0.000    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\socket.py:78(<lambda>)
       30    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
       12    0.000    0.000    0.004    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\re\_compiler.py:738(compile)
      209    0.000    0.000    0.000    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\socket.py:83(<lambda>)
       38    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      210    0.000    0.000    0.000    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\socket.py:88(<lambda>)
      115    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
      258    0.000    0.000    0.000    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\re\_parser.py:247(match)
     19/4    0.000    0.000    0.027    0.007 <frozen importlib._bootstrap_external>:934(exec_module)
      100    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1421(_path_importer_cache)
       12    0.000    0.000    0.002    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\re\_parser.py:970(parse)
        1    0.000    0.000    0.000    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\_compat_pickle.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\logging\__init__.py:1303(Manager)
       79    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
       38    0.000    0.000    0.000    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\re\_compiler.py:214(_compile_charset)
      193    0.000    0.000    0.000    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\re\_parser.py:158(__len__)
